scenario,cust_bill_W01_mean,cust_bill_W02_mean,cust_bill_W03_mean,cust_bill_W04_mean,cust_bill_W05_mean,cust_bill_W06_mean,cust_bill_W07_mean,cust_bill_W08_mean,cust_bill_W09_mean,cust_bill_W10_mean,cust_bill_W11_mean,cust_bill_W12_mean,cust_bill_W13_mean,cust_bill_W14_mean,cust_bill_W15_mean,cust_bill_W16_mean,cust_bill_W17_mean,cust_bill_W18_mean,cust_bill_W19_mean,cust_bill_W20_mean,cust_bill_W21_mean,cust_bill_W22_mean,cust_bill_W23_mean,cust_bill_W24_mean,cust_bill_W25_mean,cust_bill_W26_A_mean,cust_bill_W27_mean,cust_bill_W28_mean,cust_bill_W29_mean,cust_bill_W30_A_mean,cust_bill_W31_A_mean,cust_bill_W32_A_mean,cust_bill_W33_A_mean,cust_bill_W34_A_mean,cust_bill_W35_A_mean,cust_bill_W36_A_mean,cust_bill_W37_A_mean,cust_bill_W38_A_mean,cust_bill_W39_A_mean,cust_bill_W40_A_mean,cust_bill_W41_A_mean,cust_bill_W42_A_mean,cust_bill_W43_A_mean,cust_bill_W44_A_mean,cust_bill_W45_A_mean,cust_bill_W46_A_mean,cust_bill_W47_A_mean,cust_bill_W48_A_mean,cust_bill_W49_A_mean,cust_bill_W50_A_mean,cust_bill_W51_A_mean,cust_bill_W52_A_mean,cust_bill_W53_A_mean,cust_bill_W54_A_mean,cust_bill_W55_A_mean,cust_bill_W56_A_mean,cust_bill_W57_A_mean,cust_bill_W58_A_mean,cust_bill_W59_A_mean,cust_bill_W60_A_mean,cust_bill_W61_A_mean,cust_bill_W62_A_mean,cust_bill_W63_A_mean,cust_bill_W64_A_mean,cust_bill_W65_A_mean,cust_bill_W66_A_mean,cust_bill_W67_A_mean,cust_bill_W68_A_mean,cust_bill_W69_A_mean,cust_bill_W70_A_mean,cust_bill_W71_A_mean,cust_bill_W72_A_mean,cust_solar_bill_W01_mean,cust_solar_bill_W02_mean,cust_solar_bill_W03_mean,cust_solar_bill_W04_mean,cust_solar_bill_W05_mean,cust_solar_bill_W06_mean,cust_solar_bill_W07_mean,cust_solar_bill_W08_mean,cust_solar_bill_W09_mean,cust_solar_bill_W10_mean,cust_solar_bill_W11_mean,cust_solar_bill_W12_mean,cust_solar_bill_W13_mean,cust_solar_bill_W14_mean,cust_solar_bill_W15_mean,cust_solar_bill_W16_mean,cust_solar_bill_W17_mean,cust_solar_bill_W18_mean,cust_solar_bill_W19_mean,cust_solar_bill_W20_mean,cust_solar_bill_W21_mean,cust_solar_bill_W22_mean,cust_solar_bill_W23_mean,cust_solar_bill_W24_mean,cust_solar_bill_W25_mean,cust_solar_bill_W26_A_mean,cust_solar_bill_W27_mean,cust_solar_bill_W28_mean,cust_solar_bill_W29_mean,cust_solar_bill_W30_A_mean,cust_solar_bill_W31_A_mean,cust_solar_bill_W32_A_mean,cust_solar_bill_W33_A_mean,cust_solar_bill_W34_A_mean,cust_solar_bill_W35_A_mean,cust_solar_bill_W36_A_mean,cust_solar_bill_W37_A_mean,cust_solar_bill_W38_A_mean,cust_solar_bill_W39_A_mean,cust_solar_bill_W40_A_mean,cust_solar_bill_W41_A_mean,cust_solar_bill_W42_A_mean,cust_solar_bill_W43_A_mean,cust_solar_bill_W44_A_mean,cust_solar_bill_W45_A_mean,cust_solar_bill_W46_A_mean,cust_solar_bill_W47_A_mean,cust_solar_bill_W48_A_mean,cust_solar_bill_W49_A_mean,cust_solar_bill_W50_A_mean,cust_solar_bill_W51_A_mean,cust_solar_bill_W52_A_mean,cust_solar_bill_W53_A_mean,cust_solar_bill_W54_A_mean,cust_solar_bill_W55_A_mean,cust_solar_bill_W56_A_mean,cust_solar_bill_W57_A_mean,cust_solar_bill_W58_A_mean,cust_solar_bill_W59_A_mean,cust_solar_bill_W60_A_mean,cust_solar_bill_W61_A_mean,cust_solar_bill_W62_A_mean,cust_solar_bill_W63_A_mean,cust_solar_bill_W64_A_mean,cust_solar_bill_W65_A_mean,cust_solar_bill_W66_A_mean,cust_solar_bill_W67_A_mean,cust_solar_bill_W68_A_mean,cust_solar_bill_W69_A_mean,cust_solar_bill_W70_A_mean,cust_solar_bill_W71_A_mean,cust_solar_bill_W72_A_mean,cust_total$_W01_mean,cust_total$_W02_mean,cust_total$_W03_mean,cust_total$_W04_mean,cust_total$_W05_mean,cust_total$_W06_mean,cust_total$_W07_mean,cust_total$_W08_mean,cust_total$_W09_mean,cust_total$_W10_mean,cust_total$_W11_mean,cust_total$_W12_mean,cust_total$_W13_mean,cust_total$_W14_mean,cust_total$_W15_mean,cust_total$_W16_mean,cust_total$_W17_mean,cust_total$_W18_mean,cust_total$_W19_mean,cust_total$_W20_mean,cust_total$_W21_mean,cust_total$_W22_mean,cust_total$_W23_mean,cust_total$_W24_mean,cust_total$_W25_mean,cust_total$_W26_A_mean,cust_total$_W27_mean,cust_total$_W28_mean,cust_total$_W29_mean,cust_total$_W30_A_mean,cust_total$_W31_A_mean,cust_total$_W32_A_mean,cust_total$_W33_A_mean,cust_total$_W34_A_mean,cust_total$_W35_A_mean,cust_total$_W36_A_mean,cust_total$_W37_A_mean,cust_total$_W38_A_mean,cust_total$_W39_A_mean,cust_total$_W40_A_mean,cust_total$_W41_A_mean,cust_total$_W42_A_mean,cust_total$_W43_A_mean,cust_total$_W44_A_mean,cust_total$_W45_A_mean,cust_total$_W46_A_mean,cust_total$_W47_A_mean,cust_total$_W48_A_mean,cust_total$_W49_A_mean,cust_total$_W50_A_mean,cust_total$_W51_A_mean,cust_total$_W52_A_mean,cust_total$_W53_A_mean,cust_total$_W54_A_mean,cust_total$_W55_A_mean,cust_total$_W56_A_mean,cust_total$_W57_A_mean,cust_total$_W58_A_mean,cust_total$_W59_A_mean,cust_total$_W60_A_mean,cust_total$_W61_A_mean,cust_total$_W62_A_mean,cust_total$_W63_A_mean,cust_total$_W64_A_mean,cust_total$_W65_A_mean,cust_total$_W66_A_mean,cust_total$_W67_A_mean,cust_total$_W68_A_mean,cust_total$_W69_A_mean,cust_total$_W70_A_mean,cust_total$_W71_A_mean,cust_total$_W72_A_mean,pv_filename,load_folder,arrangement,pv_cap_id,pv_capex_scaleable,cp,all_residents,parent,network_tariff,en_capex_id,a_term,a_rate,pv_scaleable,pv_kW_peak,notes,pv_name,kwp,kwp_unit,bill_save_W01,total_save_W01,npv_annual_total_save_W01,bill_save_W02,total_save_W02,npv_annual_total_save_W02,bill_save_W03,total_save_W03,npv_annual_total_save_W03,bill_save_W04,total_save_W04,npv_annual_total_save_W04,bill_save_W05,total_save_W05,npv_annual_total_save_W05,bill_save_W06,total_save_W06,npv_annual_total_save_W06,bill_save_W07,total_save_W07,npv_annual_total_save_W07,bill_save_W08,total_save_W08,npv_annual_total_save_W08,bill_save_W09,total_save_W09,npv_annual_total_save_W09,bill_save_W10,total_save_W10,npv_annual_total_save_W10,bill_save_W11,total_save_W11,npv_annual_total_save_W11,bill_save_W12,total_save_W12,npv_annual_total_save_W12,bill_save_W13,total_save_W13,npv_annual_total_save_W13,bill_save_W14,total_save_W14,npv_annual_total_save_W14,bill_save_W15,total_save_W15,npv_annual_total_save_W15,bill_save_W16,total_save_W16,npv_annual_total_save_W16,bill_save_W17,total_save_W17,npv_annual_total_save_W17,bill_save_W18,total_save_W18,npv_annual_total_save_W18,bill_save_W19,total_save_W19,npv_annual_total_save_W19,bill_save_W20,total_save_W20,npv_annual_total_save_W20,bill_save_W21,total_save_W21,npv_annual_total_save_W21,bill_save_W22,total_save_W22,npv_annual_total_save_W22,bill_save_W23,total_save_W23,npv_annual_total_save_W23,bill_save_W24,total_save_W24,npv_annual_total_save_W24,bill_save_W25,total_save_W25,npv_annual_total_save_W25,bill_save_W26_A,total_save_W26_A,npv_annual_total_save_W26_A,bill_save_W27,total_save_W27,npv_annual_total_save_W27,bill_save_W28,total_save_W28,npv_annual_total_save_W28,bill_save_W29,total_save_W29,npv_annual_total_save_W29,bill_save_W30_A,total_save_W30_A,npv_annual_total_save_W30_A,bill_save_W31_A,total_save_W31_A,npv_annual_total_save_W31_A,bill_save_W32_A,total_save_W32_A,npv_annual_total_save_W32_A,bill_save_W33_A,total_save_W33_A,npv_annual_total_save_W33_A,bill_save_W34_A,total_save_W34_A,npv_annual_total_save_W34_A,bill_save_W35_A,total_save_W35_A,npv_annual_total_save_W35_A,bill_save_W36_A,total_save_W36_A,npv_annual_total_save_W36_A,bill_save_W37_A,total_save_W37_A,npv_annual_total_save_W37_A,bill_save_W38_A,total_save_W38_A,npv_annual_total_save_W38_A,bill_save_W39_A,total_save_W39_A,npv_annual_total_save_W39_A,bill_save_W40_A,total_save_W40_A,npv_annual_total_save_W40_A,bill_save_W41_A,total_save_W41_A,npv_annual_total_save_W41_A,bill_save_W42_A,total_save_W42_A,npv_annual_total_save_W42_A,bill_save_W43_A,total_save_W43_A,npv_annual_total_save_W43_A,bill_save_W44_A,total_save_W44_A,npv_annual_total_save_W44_A,bill_save_W45_A,total_save_W45_A,npv_annual_total_save_W45_A,bill_save_W46_A,total_save_W46_A,npv_annual_total_save_W46_A,bill_save_W47_A,total_save_W47_A,npv_annual_total_save_W47_A,bill_save_W48_A,total_save_W48_A,npv_annual_total_save_W48_A,bill_save_W49_A,total_save_W49_A,npv_annual_total_save_W49_A,bill_save_W50_A,total_save_W50_A,npv_annual_total_save_W50_A,bill_save_W51_A,total_save_W51_A,npv_annual_total_save_W51_A,bill_save_W52_A,total_save_W52_A,npv_annual_total_save_W52_A,bill_save_W53_A,total_save_W53_A,npv_annual_total_save_W53_A,bill_save_W54_A,total_save_W54_A,npv_annual_total_save_W54_A,bill_save_W55_A,total_save_W55_A,npv_annual_total_save_W55_A,bill_save_W56_A,total_save_W56_A,npv_annual_total_save_W56_A,bill_save_W57_A,total_save_W57_A,npv_annual_total_save_W57_A,bill_save_W58_A,total_save_W58_A,npv_annual_total_save_W58_A,bill_save_W59_A,total_save_W59_A,npv_annual_total_save_W59_A,bill_save_W60_A,total_save_W60_A,npv_annual_total_save_W60_A,bill_save_W61_A,total_save_W61_A,npv_annual_total_save_W61_A,bill_save_W62_A,total_save_W62_A,npv_annual_total_save_W62_A,bill_save_W63_A,total_save_W63_A,npv_annual_total_save_W63_A,bill_save_W64_A,total_save_W64_A,npv_annual_total_save_W64_A,bill_save_W65_A,total_save_W65_A,npv_annual_total_save_W65_A,bill_save_W66_A,total_save_W66_A,npv_annual_total_save_W66_A,bill_save_W67_A,total_save_W67_A,npv_annual_total_save_W67_A,bill_save_W68_A,total_save_W68_A,npv_annual_total_save_W68_A,bill_save_W69_A,total_save_W69_A,npv_annual_total_save_W69_A,bill_save_W70_A,total_save_W70_A,npv_annual_total_save_W70_A,bill_save_W71_A,total_save_W71_A,npv_annual_total_save_W71_A,bill_save_W72_A,total_save_W72_A,npv_annual_total_save_W72_A,site_tag,system_tag
0,1815.9277353050354,1378.7251539394574,1694.0411046558904,1404.217302931401,2023.3073995751927,2665.476606761485,1442.2442326689927,1411.6581081449826,1673.0073178536484,1088.444219024351,1209.6302851891592,1409.215620850611,2020.81490859754,1748.5742108117804,3022.9805833299138,1634.7505001416598,1046.1695116480118,480.5636264458059,1050.387170516979,1543.7389550358234,2520.106603932216,1153.4734222341458,1085.431455551813,856.2992420930382,1029.9967472437406,1509.6965595977942,1680.507455875233,1773.2817816347515,2048.6722840232273,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1815.9277353050354,1378.7251539394574,1694.0411046558904,1404.217302931401,2023.3073995751927,2665.476606761485,1442.2442326689927,1411.6581081449826,1673.0073178536484,1088.444219024351,1209.6302851891592,1409.215620850611,2020.81490859754,1748.5742108117804,3022.9805833299138,1634.7505001416598,1046.1695116480118,480.5636264458059,1050.387170516979,1543.7389550358234,2520.106603932216,1153.4734222341458,1085.431455551813,856.2992420930382,1029.9967472437406,1509.6965595977942,1680.507455875233,1773.2817816347515,2048.6722840232273,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,1509.6965595977942,zero,W,bau,,False,EASO_TOU_15pc,EASO_TOU_15pc,TIDNULL,EA305,,20,0.06,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a72_cp22,a72_cp22_pv000
2,1621.2177776059466,1244.0590245491867,1539.6694190048574,1277.1697100222532,1853.411473722031,2396.2379833677064,1313.16320065428,1283.4072823120578,1499.2408409905686,982.6049788473113,1085.8358211744755,1295.751001512609,1838.21467866384,1601.2267053592711,2702.1448412286354,1448.966625086649,953.3447564128357,438.4070266636045,951.435499683338,1409.3640737357864,2306.4447092180576,1029.9172118963688,964.3471644411287,777.2908544895469,918.9360406439156,1364.9269853278454,1528.00265447888,1585.6029413094134,1853.581098165551,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1621.2177776059466,1244.0590245491867,1539.6694190048574,1277.1697100222532,1853.411473722031,2396.2379833677064,1313.16320065428,1283.4072823120578,1499.2408409905686,982.6049788473113,1085.8358211744755,1295.751001512609,1838.21467866384,1601.2267053592711,2702.1448412286354,1448.966625086649,953.3447564128357,438.4070266636045,951.435499683338,1409.3640737357864,2306.4447092180576,1029.9172118963688,964.3471644411287,777.2908544895469,918.9360406439156,1364.9269853278454,1528.00265447888,1585.6029413094134,1853.581098165551,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,1364.9269853278454,W_max_yield.csv,W,en_pv,W_max_yield,False,TIDNULL,STC_20,EA305_TOU12,EA305,capex_med,20,0.06,False,,,W_max_yield,74.0,1.0277777777777777,194.70995769908882,194.70995769908882,112.99560426266851,134.66612939027073,134.66612939027073,78.15050059065132,154.37168565103298,154.37168565103298,89.58618299400317,127.04759290914785,127.04759290914785,73.72925196292552,169.89592585316177,169.89592585316177,98.59533138624575,269.23862339377865,269.23862339377865,156.24666196191887,129.08103201471272,129.08103201471272,74.90931323549658,128.25082583292487,128.25082583292487,74.42752149622302,173.7664768630798,173.7664768630798,100.8415197957315,105.83924017703976,105.83924017703976,61.42145496733508,123.79446401468363,123.79446401468363,71.84137078048275,113.46461933800197,113.46461933800197,65.84667459249926,182.6002299336999,182.6002299336999,105.96799241129513,147.34750545250927,147.34750545250927,85.5098558489443,320.83574210127836,320.83574210127836,186.18990510912775,185.78387505501087,185.78387505501087,107.81555022750292,92.8247552351761,92.8247552351761,53.86878736085367,42.1565997822014,42.1565997822014,24.464647429131578,98.95167083364106,98.95167083364106,57.42440690130284,134.37488130003703,134.37488130003703,77.98148122289435,213.66189471415828,213.66189471415828,123.9939404560096,123.55621033777697,123.55621033777697,71.703105544806,121.08429111068438,121.08429111068438,70.26858206149502,79.00838760349131,79.00838760349131,45.85076492529794,111.06070659982504,111.06070659982504,64.45161716628984,144.76957426994886,144.76957426994886,84.01381067917876,152.50480139635306,152.50480139635306,88.50277813408321,187.67884032533811,187.67884032533811,108.91525128186956,195.09118585767624,195.09118585767624,113.21684156686479,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,144.76957426994886,144.76957426994886,84.01381067917876,a72_cp22,a72_cp22_pv074
